"p","K","nu","delta","sparse","alpha","independent","ARL","CAD","PFA","power","stream_1_ARL","stream_2_ARL","stream_3_ARL","stream_4_ARL","stream_5_ARL","stream_6_ARL","stream_7_ARL","stream_8_ARL","stream_9_ARL","stream_10_ARL","stream_1_CAD","stream_2_CAD","stream_3_CAD","stream_4_CAD","stream_5_CAD","stream_6_CAD","stream_7_CAD","stream_8_CAD","stream_9_CAD","stream_10_CAD"
1,10,100,0.0378647900941465,TRUE,1e-04,FALSE,186.986666666667,86.9866666666667,0,1,187.1,891.043333333334,Inf,934.376666666667,932.396666666667,Inf,890.28,951.55,Inf,Inf,87.1,791.043333333334,763.66220735786,834.376666666667,832.396666666667,804.836120401338,790.28,851.55,814.357859531773,781.408026755853
0,2,100,0.0447213595499958,TRUE,1e-04,FALSE,157.936666666667,57.9366666666667,0,1,157.936666666667,Inf,NA,NA,NA,NA,NA,NA,NA,NA,57.9366666666667,1662.03333333333,NA,NA,NA,NA,NA,NA,NA,NA
1,2,100,0.0447213595499958,TRUE,1e-04,FALSE,155.673333333333,55.91,0.00333333333333333,1,155.673333333333,708.423333333333,NA,NA,NA,NA,NA,NA,NA,NA,55.91,608.423333333333,NA,NA,NA,NA,NA,NA,NA,NA
0,10,100,0.0447213595499958,TRUE,1e-04,FALSE,174.466666666667,74.4666666666667,0,1,174.466666666667,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,74.4666666666667,1665.25,1270,1871.66666666667,1111.33333333333,1874.83333333333,1677.66666666667,1527.71428571429,1927.42857142857,1958
1,10,100,0.0447213595499958,TRUE,1e-04,FALSE,174.32,74.32,0,1,174.633333333333,Inf,Inf,Inf,901.45,911.016666666667,862.183333333333,921.59,925.713333333333,890.313333333333,74.6333333333333,784.842809364549,776.585284280937,833.023411371237,801.45,811.016666666667,762.183333333333,821.59,825.713333333333,790.313333333333
0,2,100,0.05281951900505,TRUE,1e-04,FALSE,150.263333333333,50.2633333333333,0,1,150.263333333333,Inf,NA,NA,NA,NA,NA,NA,NA,NA,50.2633333333333,1639.25,NA,NA,NA,NA,NA,NA,NA,NA
1,2,100,0.05281951900505,TRUE,1e-04,FALSE,146.506666666667,46.7733333333333,0.00333333333333333,1,146.546666666667,675.766666666667,NA,NA,NA,NA,NA,NA,NA,NA,46.8133333333333,575.766666666667,NA,NA,NA,NA,NA,NA,NA,NA
0,10,100,0.05281951900505,TRUE,1e-04,FALSE,162.876666666667,62.8766666666667,0,1,162.876666666667,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,62.8766666666667,2120,2170.25,1247.45454545455,1978.6,1798.5,1865.77777777778,1181.25,2090,1760.875
1,10,100,0.05281951900505,TRUE,1e-04,FALSE,162.836666666667,62.8366666666667,0,1,162.836666666667,961.193333333333,910.696666666667,893.736666666667,Inf,912.27,Inf,Inf,938.056666666667,899.693333333333,62.8366666666667,861.193333333333,810.696666666667,793.736666666667,798.849498327759,812.27,788.638795986622,808.76254180602,838.056666666667,799.693333333333
0,2,100,0.0623840960113455,TRUE,1e-04,FALSE,141.47,41.47,0,1,141.47,Inf,NA,NA,NA,NA,NA,NA,NA,NA,41.47,1759.86111111111,NA,NA,NA,NA,NA,NA,NA,NA
1,2,100,0.0623840960113455,TRUE,1e-04,FALSE,137.973333333333,37.9733333333333,0,1,138.053333333333,653.18,NA,NA,NA,NA,NA,NA,NA,NA,38.0533333333333,553.18,NA,NA,NA,NA,NA,NA,NA,NA
0,10,100,0.0623840960113455,TRUE,1e-04,FALSE,153.553333333333,53.5533333333333,0,1,153.553333333333,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,53.5533333333333,2274.5,1564.5,2264.5,1738.16666666667,1692,2060.125,2433,1872.4,2772
1,10,100,0.0623840960113455,TRUE,1e-04,FALSE,152.013333333333,52.0133333333333,0,1,152.013333333333,Inf,Inf,919.49,894.643333333333,Inf,896.986666666667,904.053333333333,904.713333333333,898.986666666667,52.0133333333333,802.137123745819,782.247491638796,819.49,794.643333333333,795.083612040134,796.986666666667,804.053333333333,804.713333333333,798.986666666667
0,2,100,0.0736806299728077,TRUE,1e-04,FALSE,135.526666666667,35.5266666666667,0,1,135.526666666667,Inf,NA,NA,NA,NA,NA,NA,NA,NA,35.5266666666667,1914.84375,NA,NA,NA,NA,NA,NA,NA,NA
1,2,100,0.0736806299728077,TRUE,1e-04,FALSE,133.38,33.38,0,1,133.38,688.796666666667,NA,NA,NA,NA,NA,NA,NA,NA,33.38,588.796666666667,NA,NA,NA,NA,NA,NA,NA,NA
0,10,100,0.0736806299728077,TRUE,1e-04,FALSE,146.066666666667,46.0666666666667,0,1,146.066666666667,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,46.0666666666667,1602.125,1594.75,1967.4,2116.625,1636.2,1785.5,1732.6,1815.875,2730.33333333333
1,10,100,0.0736806299728077,TRUE,1e-04,FALSE,143.463333333333,43.4633333333333,0,1,143.546666666667,925.31,890.136666666667,900.353333333333,Inf,956.163333333333,914.216666666666,Inf,890.52,866.033333333333,43.5466666666667,825.31,790.136666666667,800.353333333333,796.250836120401,856.163333333333,814.216666666666,834.344481605351,790.52,766.033333333333
0,2,100,0.0870227442616544,TRUE,1e-04,FALSE,130.406666666667,30.4066666666667,0,1,130.406666666667,Inf,NA,NA,NA,NA,NA,NA,NA,NA,30.4066666666667,1786.43243243243,NA,NA,NA,NA,NA,NA,NA,NA
1,2,100,0.0870227442616544,TRUE,1e-04,FALSE,129.346666666667,29.3466666666667,0,1,129.416666666667,649.406666666667,NA,NA,NA,NA,NA,NA,NA,NA,29.4166666666667,549.406666666667,NA,NA,NA,NA,NA,NA,NA,NA
0,10,100,0.0870227442616544,TRUE,1e-04,FALSE,139.093333333333,39.0933333333333,0,1,139.093333333333,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,39.0933333333333,2183.45454545455,1980.14285714286,2152.66666666667,1780,1749.83333333333,2213.66666666667,2039.77777777778,2158.4,2061.8
1,10,100,0.0870227442616544,TRUE,1e-04,FALSE,137.41,37.41,0,1,137.41,Inf,942.253333333333,903.68,929.1,883.043333333333,945.233333333333,922.473333333333,925.17,876.953333333333,37.41,789.781879194631,842.253333333333,803.68,829.1,783.043333333333,845.233333333333,822.473333333333,825.17,776.953333333333
0,2,100,0.102780853280219,TRUE,1e-04,FALSE,126.39,26.39,0,1,126.39,Inf,NA,NA,NA,NA,NA,NA,NA,NA,26.39,1512.5,NA,NA,NA,NA,NA,NA,NA,NA
1,2,100,0.102780853280219,TRUE,1e-04,FALSE,125.106666666667,25.1066666666667,0,1,125.106666666667,683.203333333333,NA,NA,NA,NA,NA,NA,NA,NA,25.1066666666667,583.203333333333,NA,NA,NA,NA,NA,NA,NA,NA
0,10,100,0.102780853280219,TRUE,1e-04,FALSE,133.09,33.09,0,1,133.09,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,33.09,906.142857142857,1579.71428571429,1762.83333333333,2165.33333333333,2062.71428571429,880,2025.75,1751.625,1853.6
1,10,100,0.102780853280219,TRUE,1e-04,FALSE,132.493333333333,32.4933333333333,0,1,132.493333333333,923.143333333333,Inf,889.466666666667,940.123333333333,Inf,951.25,928.103333333333,894.943333333333,Inf,32.4933333333333,823.143333333333,819.879194630873,789.466666666667,840.123333333333,788.822742474916,851.25,828.103333333333,794.943333333333,817.14381270903
0,2,100,0.121392446200583,TRUE,1e-04,FALSE,122.576666666667,22.5766666666667,0,1,122.576666666667,Inf,NA,NA,NA,NA,NA,NA,NA,NA,22.5766666666667,1760.83783783784,NA,NA,NA,NA,NA,NA,NA,NA
1,2,100,0.121392446200583,TRUE,1e-04,FALSE,121.58,21.58,0,1,121.58,667.583333333333,NA,NA,NA,NA,NA,NA,NA,NA,21.58,567.583333333333,NA,NA,NA,NA,NA,NA,NA,NA
0,10,100,0.121392446200583,TRUE,1e-04,FALSE,128.57,28.57,0,1,128.57,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,28.57,1251.4,1910.75,1696,2013.2,1561.22222222222,1862,1712.75,2230.22222222222,2025.4
