"p","K","nu","delta","sparse","alpha","criterion","independent","detector","combine","ARL","CAD","PFA","power"
0,2,1000,0.01,FALSE,1e-04,"ARL",TRUE,"misspec","joint",Inf,809.377049180328,0.02,0.203333333333333
0,2,1000,0.01,FALSE,1e-04,"ARL",TRUE,"bounded","average",1697.19333333333,697.193333333333,0,1
0,2,1000,0.01,FALSE,1e-04,"ARL",TRUE,"bounded","product",1507.17333333333,517.423333333333,0.0133333333333333,1
1,2,1000,0.01,FALSE,1e-04,"ARL",TRUE,"oracle","joint",1481.96666666667,524.853333333333,0.0533333333333333,1
1,2,1000,0.01,FALSE,1e-04,"ARL",TRUE,"misspec","joint",Inf,855.230769230769,0.0333333333333333,0.26
1,2,1000,0.01,FALSE,1e-04,"ARL",TRUE,"bounded","average",Inf,685.671186440678,0.07,0.983333333333333
1,2,1000,0.01,FALSE,1e-04,"ARL",TRUE,"bounded","product",1380.19666666667,589.393333333333,0.203333333333333,1
0,10,1000,0.01,FALSE,1e-04,"ARL",TRUE,"oracle","joint",1197.91,255.016666666667,0.0766666666666667,1
0,10,1000,0.01,FALSE,1e-04,"ARL",TRUE,"misspec","joint",Inf,876.6,0.00666666666666667,0.0166666666666667
0,10,1000,0.01,FALSE,1e-04,"ARL",TRUE,"bounded","average",Inf,1418.80427046263,0,0.936666666666667
0,10,1000,0.01,FALSE,1e-04,"ARL",TRUE,"bounded","product",1432.17,481.006666666667,0.0533333333333333,1
1,10,1000,0.01,FALSE,1e-04,"ARL",TRUE,"oracle","joint",Inf,507.137123745819,0.05,0.996666666666667
1,10,1000,0.01,FALSE,1e-04,"ARL",TRUE,"misspec","joint",Inf,951.352941176471,0.98,0.0566666666666667
1,10,1000,0.01,FALSE,1e-04,"ARL",TRUE,"bounded","average",Inf,1102.52857142857,0.01,0.933333333333333
1,10,1000,0.01,FALSE,1e-04,"ARL",TRUE,"bounded","product",660.946666666667,361.676666666667,0.676666666666667,1
