"p","K","nu","delta","sparse","alpha","criterion","independent","detector","combine","ARL","CAD","PFA","power"
0,2,50,0.1625,FALSE,0.05,"ARL",TRUE,"bounded","average",20.7,NA,1,0
0,2,50,0.1625,FALSE,0.05,"ARL",TRUE,"bounded","product",21.08,NA,1,0
0,2,50,0.1625,FALSE,0.05,"ARL",TRUE,"bounded","up",21.13,NA,1,0
0,1,100,0.1625,FALSE,0.05,"ARL",TRUE,"oracle","joint",62.49,1.4,0.7,0.3
0,1,100,0.1625,FALSE,0.05,"ARL",TRUE,"misspec","joint",39.58,1.45454545454545,0.89,0.11
0,1,100,0.1625,FALSE,0.05,"ARL",TRUE,"bounded","average",21.52,NA,1,0
0,2,100,0.1625,FALSE,0.05,"ARL",TRUE,"oracle","joint",60.35,1.38888888888889,0.64,0.36
0,2,100,0.1625,FALSE,0.05,"ARL",TRUE,"misspec","joint",39.58,1.6,0.9,0.1
0,2,100,0.1625,FALSE,0.05,"ARL",TRUE,"bounded","average",20.86,NA,1,0
0,2,100,0.1625,FALSE,0.05,"ARL",TRUE,"bounded","product",21.57,NA,1,0
0,2,100,0.1625,FALSE,0.05,"ARL",TRUE,"bounded","up",20.66,NA,1,0
0,1,50,0.2,FALSE,0.05,"ARL",TRUE,"oracle","joint",44.45,1.23376623376623,0.23,0.77
0,1,50,0.2,FALSE,0.05,"ARL",TRUE,"misspec","joint",33.9,1.1219512195122,0.59,0.41
0,1,50,0.2,FALSE,0.05,"ARL",TRUE,"bounded","average",21.1,NA,1,0
0,2,50,0.2,FALSE,0.05,"ARL",TRUE,"oracle","joint",44.86,1.24324324324324,0.26,0.74
0,2,50,0.2,FALSE,0.05,"ARL",TRUE,"misspec","joint",35.77,1.17777777777778,0.55,0.45
0,2,50,0.2,FALSE,0.05,"ARL",TRUE,"bounded","average",21.18,NA,1,0
0,2,50,0.2,FALSE,0.05,"ARL",TRUE,"bounded","product",21.64,NA,1,0
0,2,50,0.2,FALSE,0.05,"ARL",TRUE,"bounded","up",21.33,NA,1,0
0,1,100,0.2,FALSE,0.05,"ARL",TRUE,"oracle","joint",76.43,1.125,0.44,0.56
0,1,100,0.2,FALSE,0.05,"ARL",TRUE,"misspec","joint",44.85,1.18181818181818,0.89,0.11
0,1,100,0.2,FALSE,0.05,"ARL",TRUE,"bounded","average",21.23,NA,1,0
0,2,100,0.2,FALSE,0.05,"ARL",TRUE,"oracle","joint",79.63,1.32758620689655,0.42,0.58
0,2,100,0.2,FALSE,0.05,"ARL",TRUE,"misspec","joint",43.71,1.38461538461538,0.87,0.13
0,2,100,0.2,FALSE,0.05,"ARL",TRUE,"bounded","average",20.9,NA,1,0
0,2,100,0.2,FALSE,0.05,"ARL",TRUE,"bounded","product",21.5,NA,1,0
0,2,100,0.2,FALSE,0.05,"ARL",TRUE,"bounded","up",20.55,NA,1,0
